DESARROLLO;Fase;Actividades;Entregable;Fecha;Estado;% Avance;Notas
BITACORAS DIRECTOS;Lanzamiento;Capacitación;Liberado;11/03/2026;REALIZADO;;
ACTA SISTEMATIZADA / CASOS DE BAJA;Levantamiento;Revisión proceso;Video, reunion y levantemiento;12/03/2026;REALIZADO;;
APP CHECK DOC;Documentación;Manual usuario y técnico;Documentación entregada;13/03/2026;REALIZADO;;
APP CHECK HW;Documentación;Manual usuario y técnico;Documentación entregada;13/03/2026;REALIZADO;;
APP CHECK DOC;Desarrollo;Construcción automatización completa;Solución funcional;16/03/2026;REALIZADO;;
APP CHECK DOC;Pruebas;Pruebas funcionales y ajustes;Validación operativa;16/03/2026;REALIZADO;;
APP CHECK HW;Desarrollo;Construcción automatización completa;Solución funcional;16/03/2026;REALIZADO;;
APP CHECK HW;Pruebas;Pruebas funcionales y ajustes;Validación operativa;16/03/2026;REALIZADO;;
BI CONTRATOS;Diseño;Diseño visual y modelo;Diseño aprobado;18/03/2026;REALIZADO;;
APP PENALIDADES;Levantamiento;Identificación problemas;Lista de mejoras;20/03/2026;REALIZADO;;
BI CONTRATOS;Desarrollo;Ajustes BI, nuevas métricas;BI actualizado;20/03/2026;REALIZADO;;
ONAIR;Desarrollo;Ajustes Bases, Power query Power apps, nuevas métricas;BI actualizado;20/03/2026;REALIZADO;;
APP CHECK DOC;Producción;Soporte inicial, estabilización;Cierre productivo;25/03/2026;REALIZADO;;
APP CHECK HW;Producción;Soporte inicial, estabilización;Cierre productivo;25/03/2026;REALIZADO;;
APP PENALIDADES;Simplificación;Evaluación automatizaciones;Propuesta TO-BE;25/03/2026;REALIZADO;;
BI CONTRATOS;Documentación;Guía de uso;Documentación;25/03/2026;REALIZADO;;
ONAIR;Diseño;Power Bi Ajustes;Power BI;27/03/2026;REALIZADO;;
RADICACION ACTAS DE LIQUIDACION (FIRMAS);Levantamiento;Revisión proceso;Conocimiento del proceso completo;27/03/2026;REALIZADO;;
