Fase;Actividades;Entregable;Fecha;Estado;% Avance;Notas
Levantamiento;Revisión proceso;Video, reunion y levantemiento;12/03/2026;REALIZADO;;
Diseño;UX, estructura;Presentacion APP UI UX Actas de Baja;24/04/2026;REALIZADO;;
Diseño;UX, estructura;Segunda Modificacion Estructura UI;29/04/2026;REALIZADO;;
Diseño;Pruebas + Presentacion APP;Cuarta Modificacion Estructura UI + Revision Aliados;06/05/2026;REALIZADO;;
Desarrollo;Pruebas de la Aplicacion;Retroalimentacion - Pruebas Aliados;13/05/2026;REALIZADO;;
Desarrollo;Construcción App;App funcional;13/05/2026;REALIZADO;;
Pruebas;Casos reales;Progreso Aplicacion;15/05/2026;REALIZADO;;
Pruebas;Ajustes finales con usuarios;Ajustes de Registro Aplicacion;20/05/2026;REALIZADO;;
Pruebas;Ajustes finales con usuarios;Ajustes de Registro Aplicacion;22/05/2026;REALIZADO;;
Producción;Estabilización Final;Solución operativa en producción;05/06/2026;REALIZADO;;
